userId,movieId,date,rating_im
1,1,2000-07-30 18:45:03,0.8
1,3,2000-07-30 18:20:47,0.8
1,6,2000-07-30 18:37:04,0.8
1,47,2000-07-30 19:03:35,1.0
1,50,2000-07-30 18:48:51,1.0
1,70,2000-07-30 18:40:00,0.6
1,101,2000-07-30 18:14:28,1.0
1,110,2000-07-30 18:36:16,0.8
1,151,2000-07-30 19:07:21,1.0
1,157,2000-07-30 19:08:20,1.0
1,163,2000-07-30 19:00:50,1.0
1,216,2000-07-30 18:20:08,1.0
1,223,2000-07-30 18:16:25,0.6
1,231,2000-07-30 18:19:39,1.0
1,235,2000-07-30 18:15:08,0.8
1,260,2000-07-30 18:28:00,1.0
1,296,2000-07-30 18:49:27,0.6
1,316,2000-07-30 18:38:30,0.6
1,333,2000-07-30 18:19:39,1.0
1,349,2000-07-30 18:42:43,0.8
1,356,2000-07-30 18:16:02,0.8
1,362,2000-07-30 18:43:08,1.0
1,367,2000-07-30 18:28:30,0.8
1,423,2000-07-30 18:39:23,0.6
1,441,2000-07-30 18:14:28,0.8
1,457,2000-07-30 18:31:49,1.0
1,480,2000-07-30 18:39:06,0.8
1,500,2000-07-30 18:20:08,0.6
1,527,2000-07-30 19:06:42,1.0
1,543,2000-07-30 18:19:39,0.8
1,552,2000-07-30 18:44:13,0.8
1,553,2000-07-30 19:09:13,1.0
1,590,2000-07-30 18:42:26,0.8
1,592,2000-07-30 18:37:51,0.8
1,593,2000-07-30 19:03:13,0.8
1,596,2000-07-30 18:47:18,1.0
1,608,2000-07-30 18:48:51,1.0
1,648,2000-07-30 18:42:43,0.6
1,661,2000-07-30 18:47:18,1.0
1,673,2000-07-30 18:29:35,0.6
1,733,2000-07-30 18:40:00,0.8
1,736,2000-07-30 18:44:13,0.6
1,780,2000-07-30 19:08:06,0.6
1,804,2000-07-30 18:08:19,0.8
1,919,2000-07-30 18:41:15,1.0
1,923,2000-07-30 18:25:29,1.0
1,940,2000-07-30 18:36:16,1.0
1,943,2000-07-30 19:00:14,0.8
1,954,2000-07-30 18:53:39,1.0
1,1009,2000-07-30 18:29:35,0.6
1,1023,2000-07-30 18:44:41,1.0
1,1024,2000-07-30 18:47:56,1.0
1,1025,2000-07-30 18:46:31,1.0
1,1029,2000-07-30 18:47:35,1.0
1,1030,2000-07-30 18:48:23,0.6
1,1031,2000-07-30 18:44:13,1.0
1,1032,2000-07-30 18:46:31,1.0
1,1042,2000-07-30 18:19:39,0.8
1,1049,2000-07-30 18:40:00,1.0
1,1060,2000-07-30 18:15:24,0.8
1,1073,2000-07-30 18:28:00,1.0
1,1080,2000-07-30 18:22:07,1.0
