user_id,item_id,rating
5423,126650,0.0
23265,129993,0.0
3117,143673,0.0
17183,21122,0.0
3090,13489,0.0
14927,103960,0.0
8794,57140,0.0
267,52900,0.0
14534,82599,0.0
2248,96821,0.0
9685,39145,0.0
6402,100152,0.0
13921,49622,0.0
3076,89691,0.0
6876,4793,0.0
7776,4573,0.0
2114,64570,0.0
151,121584,0.0
13183,11669,0.0
44,136212,0.0
1176,4413,0.0
629,15887,0.0
3622,79221,0.0
15738,177496,0.0
2783,1061,0.0
8300,62589,0.0
15117,125637,0.0
712,12671,0.0
23987,169512,0.0
338,71545,0.0
7305,33155,0.0
3055,143220,0.0
584,130731,0.0
159,26701,0.0
736,155677,0.0
6264,115545,0.0
2110,123455,0.0
12234,55772,0.0
13053,115443,0.0
1159,57821,0.0
3527,124493,0.0
305,106751,0.0
1966,82273,0.0
319,162336,0.0
7789,39038,0.0
11831,68765,0.0
848,141314,0.0
5381,2756,0.0
2910,78081,0.0
15111,15173,0.0
1848,139246,0.0
633,148250,0.0
7586,72402,0.0
20357,79467,0.0
4048,5090,0.0
829,66383,0.0
5720,28385,0.0
12553,153638,0.0
3080,59775,0.0
10450,143196,0.0
247,103767,0.0
18664,127080,0.0
261,65707,0.0
3392,142799,0.0
19859,64311,0.0
357,108306,0.0
3922,30448,0.0
775,142122,0.0
5207,147374,0.0
5588,4369,0.0
4080,1711,0.0
1601,163429,0.0
420,54824,0.0
3179,176013,0.0
18297,170817,0.0
22820,117899,0.0
2099,6569,0.0
3410,18179,0.0
1150,85860,0.0
708,107258,0.0
9996,111421,0.0
6944,74738,0.0
11091,35799,0.0
13603,12394,0.0
9434,92547,0.0
1523,9829,0.0
814,4442,0.0
17240,170596,0.0
319,152208,0.0
3557,143102,0.0
7173,157740,0.0
1861,156855,0.0
4908,173517,0.0
4026,8780,0.0
7261,113428,0.0
237,114803,0.0
979,158044,0.0
8037,94936,0.0
829,13368,0.0
1471,71565,0.0
2535,117533,0.0
395,68818,0.0
